identifier,titulo,url,bloco,orgao,esfera,uf,tipo,status_fonte,fonte_oficial,vigencia_inicio,vigencia_fim,sucessora_ref,validation_keyword,demand_types,observacao_curadoria
IN ICMBio 9/2023,Apuração de infrações administrativas ambientais no ICMBio (compilada com a IN 13/2026),https://www.gov.br/icmbio/pt-br/acesso-a-informacao/autuacoes-ambientais/infracoes-ambientais/normativas/instrucao-normativa-no-9-gabin-icmbio-de-23-de-agosto-de-2023,06,ICMBio,federal,,norma,Fonte oficial validada,true,2023-08-23,,,INSTRUÇÃO NORMATIVA Nº 9,defesa,NOVA no corpus. Rito sancionador do ICMBio — vale quando o auto é de unidade de conservação federal.
OJN 06/2009 PFE-IBAMA,Orientação Jurídica Normativa 06/2009 da PFE-IBAMA — revista e ampliada em 2025,https://www.gov.br/ibama/pt-br/acesso-a-informacao/institucional/arquivos/ojn/20260107_OJN_06_DE_2009_revista_alterada_e_ampliada_2025.PDF,06,PFE-IBAMA,federal,,norma,Fonte oficial validada,true,2009-01-01,,,ORIENTAÇÃO JURÍDICA NORMATIVA,defesa,NOVA no corpus. Interpretação da procuradoria sobre o rito sancionador federal.
Lei 12.651/2012,Código Florestal — art. 51 e correlatos,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm,06,Congresso Nacional,federal,,norma,Fonte oficial validada,true,2012-05-25,,,12.651,defesa|car,Idem 6.514 — a planilha aponta o compilado; mantida a anotada do corpus.
Lei 9.985/2000,Sistema Nacional de Unidades de Conservação — SNUC,https://www.planalto.gov.br/ccivil_03/leis/l9985.htm,06,Congresso Nacional,federal,,norma,Fonte oficial validada,true,2000-07-18,,,9.985,defesa|licenciamento,Já no corpus (pacote A).
IN IBAMA 21/2023,Conversão de multa em serviços de preservação ambiental,https://www.ibama.gov.br/component/legislacao/?legislacao=139338&view=legislacao,06,IBAMA,federal,,norma,Fonte não acessível (403),false,2023-06-02,,,IN IBAMA 21,defesa,"PENDÊNCIA DE FONTE: o portal do IBAMA responde 403 a cliente não-browser (mesmo problema da IN 10/2012). Pedir o PDF oficial à Isis. NÃO ingerida."
Portaria IBAMA 15/2026,Restabelece a conversão direta de multa — programa Solução Legal,https://www.ibama.gov.br/component/legislacao/?legislacao=139558&view=legislacao,06,IBAMA,federal,,norma,Fonte não acessível (403),false,2026-01-01,,,Portaria 15,defesa,"PENDÊNCIA DE FONTE: 403 no portal do IBAMA. Pedir o PDF oficial à Isis. NÃO ingerida."
REF-IBAMA-FAQ-AUTO,FAQ do auto de infração ambiental — IBAMA,https://www.gov.br/ibama/pt-br/acesso-a-informacao/perguntas-frequentes/auto-de-infracao-ambiental,06,IBAMA,federal,,referencia_operacional,Fonte oficial validada,true,,,,,defesa,Referência operacional — onde o consultor tira dúvida de rito. Insumo do editor de rota.
REF-IBAMA-PROC-SANCIONADOR,Processo sancionador ambiental — informações gerais (IBAMA),https://www.gov.br/ibama/pt-br/assuntos/processo-sancionador-ambiental/informacoes-gerais,06,IBAMA,federal,,referencia_operacional,Fonte oficial validada,true,,,,,defesa,Referência operacional — prazos e etapas do rito. Insumo do editor de rota.
REF-IBAMA-SOLUCAO-LEGAL,Solução Legal — conversão de multa (IBAMA),https://www.gov.br/ibama/pt-br/assuntos/processo-sancionador-ambiental/solucao-legal,06,IBAMA,federal,,referencia_operacional,Fonte oficial validada,true,,,,,defesa,Referência operacional — caminho de saída para auto em curso.
REF-IBAMA-CONTENCIOSO,Administrativo contencioso e execução administrativa (IBAMA),https://www.gov.br/ibama/pt-br/assuntos/processo-sancionador-ambiental/administrativo-contencioso,06,IBAMA,federal,,referencia_operacional,Fonte oficial validada,true,,,,,defesa,Referência operacional.
REF-IBAMA-AREAS-EMBARGADAS,Consulta pública de autuações e áreas embargadas (IBAMA),https://www.gov.br/ibama/pt-br/servicos/consultas/autuacoes-e-embargos/areas-embargadas,06,IBAMA,federal,,referencia_operacional,Fonte oficial validada,true,,,,,defesa,"Referência operacional — CONSULTA: onde se verifica se o imóvel está embargado."
REF-IBAMA-CTF-EMBARGOS,Consulta pública de áreas embargadas — CTF/IBAMA,https://servicos.ibama.gov.br/ctf/publico/areasembargadas/,06,IBAMA,federal,,referencia_operacional,Fonte oficial validada,true,,,,,defesa,Referência operacional — consulta por CPF/CNPJ.
REF-IBAMA-DADOS-EMBARGO,Dados abertos IBAMA — SIFISC / termo de embargo,https://dadosabertos.ibama.gov.br/dados/SIFISC/termo_embargo/termo_embargo/termo_embargo.html,06,IBAMA,federal,,referencia_operacional,Fonte oficial validada,true,,,,,defesa,Referência operacional — base de dados; candidata a integração futura.
REF-GOVBR-CERTIDAO-EMBARGO,Serviço gov.br — obter certidão de embargo ambiental,https://www.gov.br/pt-br/servicos/obter-certidao-de-embargo-ambiental,06,gov.br,federal,,referencia_operacional,Fonte oficial validada,true,,,,,defesa,Referência operacional — onde OBTER o documento. Insumo direto do editor de rota.
REF-PGFN-REGULARIZE,REGULARIZE/PGFN — parcelamento de débitos inscritos em dívida ativa,https://www.gov.br/pt-br/servicos/parcelar-debitos-inscritos-em-divida-ativa-da-uniao-ate-quinze-milhoes-reais,06,PGFN,federal,,referencia_operacional,Fonte oficial validada,true,,,,,defesa,Referência operacional — caminho de parcelamento da multa inscrita.
REF-MMA-MCR-IMPEDIMENTOS,Manual de Crédito Rural — impedimentos socioambientais (MMA),https://www.gov.br/mma/pt-br/assuntos/controle-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/controle-do-desmatamento-1/atendimento-ao-manual-de-credito-rural,06,MMA,federal,,referencia_operacional,Fonte oficial validada,true,,,,,defesa,Referência operacional — efeito do embargo no crédito rural.
